Fund Name,AMC,ISIN,Instrument Name,Market Value (Lacs),% to NAV,Yield,Rating,Quantity,Coupon,Maturity Date
ICICI Prudential Corporate Bond Fund,ICICI,INE115A07HT0,LIC Housing Finance Ltd. **,1502.42,0.04537786199,6.19,CRISIL AAA,150.0,8.58,
ICICI Prudential Corporate Bond Fund,ICICI,INE018A08BE9,Larsen & Toubro Ltd. **,1028.44,0.031062158639999997,6.58,CRISIL AAA,1000.0,7.725,
ICICI Prudential Corporate Bond Fund,ICICI,INE047A08208,Grasim Industries Ltd. **,1023.65,0.030917485409999997,6.52,CRISIL AAA,100.0,7.63,
ICICI Prudential Corporate Bond Fund,ICICI,INE071G07728,ICICI Home Finance Company Ltd. **,1017.68,0.03073717242,7.11,ICRA AAA,1000.0,7.95,
ICICI Prudential Corporate Bond Fund,ICICI,INE040A08823,HDFC Bank Ltd. **,1015.6,0.03067434981,6.91,CRISIL AAA,100.0,7.77,
ICICI Prudential Corporate Bond Fund,ICICI,INE134E08IX1,Power Finance Corporation Ltd. **,643.1,0.019423665179999997,6.55,CRISIL AAA,63.0,7.75,
ICICI Prudential Corporate Bond Fund,ICICI,INE053F08338,Indian Railway Finance Corporation Ltd. **,609.14,0.01839796518,6.49,CRISIL AAA,600.0,7.68,
ICICI Prudential Corporate Bond Fund,ICICI,INE115A07QR5,LIC Housing Finance Ltd. **,511.86,0.015459799809999999,7.31,CRISIL AAA,500.0,7.68,
ICICI Prudential Corporate Bond Fund,ICICI,INE514E08FG5,Export-Import Bank Of India **,202.54,0.00611735211,6.43,CRISIL AAA,20.0,7.62,
ICICI Prudential Corporate Bond Fund,ICICI,INE261F08DH3,NABARD **,79.88,,6.94,CRISIL AAA,8.0,6.79,
ICICI Prudential Corporate Bond Fund,ICICI,INE094A08150,Hindustan Petroleum Corporation Ltd. **,51.41,,6.53,CRISIL AAA,50.0,7.74,
ICICI Prudential Corporate Bond Fund,ICICI,INE16J715035,India Universal Trust AL1 **,51491.98,1.55522155091,7.96,FITCH AAA(SO),535.0,,
ICICI Prudential Corporate Bond Fund,ICICI,INE16J715019,India Universal Trust AL1 **,27946.16,0.84406290644,7.35,FITCH AAA(SO),499.0,,
ICICI Prudential Corporate Bond Fund,ICICI,INE16J715027,India Universal Trust AL1 **,23110.9,0.69802267733,7.64,FITCH AAA(SO),256.0,,
ICICI Prudential Corporate Bond Fund,ICICI,INE692A16IC3,Union Bank Of India **,19490.98,0.58868958125,6.11,ICRA A1+,4000.0,,
ICICI Prudential Corporate Bond Fund,ICICI,INE238AD6AX9,Axis Bank Ltd.,19452.06,0.5875140734800001,6.12,CRISIL A1+,4000.0,,
ICICI Prudential Corporate Bond Fund,ICICI,INE562A16OS2,Indian Bank **,18981.98,0.57331616253,6.34,CRISIL A1+,4000.0,,
ICICI Prudential Corporate Bond Fund,ICICI,INE514E16CL5,Export-Import Bank Of India **,18925.62,0.57161391129,6.26,CRISIL A1+,4000.0,,
ICICI Prudential Corporate Bond Fund,ICICI,INE160A16QL5,Punjab National Bank **,14600.96,0.44099542599999997,6.12,CRISIL A1+,3000.0,,
ICICI Prudential Corporate Bond Fund,ICICI,INE476A16B64,Canara Bank **,9577.37,0.28926703197,6.2,CRISIL A1+,2000.0,,
ICICI Prudential Corporate Bond Fund,ICICI,INE040A16GA3,HDFC Bank Ltd.,7291.92,0.22023917378000002,6.13,CRISIL A1+,1500.0,,
ICICI Prudential Corporate Bond Fund,ICICI,INE238AD6918,Axis Bank Ltd. **,4944.77,0.14934777936,5.82,CRISIL A1+,1000.0,,
ICICI Prudential Corporate Bond Fund,ICICI,INE476A16ZP7,Canara Bank **,4872.16,0.14715472645,6.1,CRISIL A1+,1000.0,,
ICICI Prudential Corporate Bond Fund,ICICI,INE692A16ID1,Union Bank Of India **,4871.95,0.14714838378,6.11,ICRA A1+,1000.0,,
ICICI Prudential Corporate Bond Fund,ICICI,INE476A16ZQ5,Canara Bank **,4866.62,0.14698740083,6.1,CRISIL A1+,1000.0,,
ICICI Prudential Corporate Bond Fund,ICICI,INE476A16ZT9,Canara Bank,4861.87,0.14684393572999999,6.1,CRISIL A1+,1000.0,,
ICICI Prudential Corporate Bond Fund,ICICI,INE562A16OA0,Indian Bank **,4821.81,0.14563399633,6.19,CRISIL A1+,1000.0,,
ICICI Prudential Corporate Bond Fund,ICICI,INE238AD6AM2,Axis Bank Ltd. **,4820.63,0.14559835657,6.23,CRISIL A1+,1000.0,,
ICICI Prudential Corporate Bond Fund,ICICI,INE028A16GQ4,Bank Of Baroda **,2471.29,0.0746408172,5.81,FITCH A1+,500.0,,
ICICI Prudential Corporate Bond Fund,ICICI,INE028A16HY6,Bank Of Baroda,2433.2,0.07349037806,6.11,FITCH A1+,500.0,,
ICICI Prudential Corporate Bond Fund,ICICI,INE476A16ZU7,Canara Bank **,2430.54,0.0734100376,6.1,CRISIL A1+,500.0,,
ICICI Prudential Corporate Bond Fund,ICICI,INF0RQ622028,Corporate Debt Market Development Fund (Class A2),8085.84,0.24421808260000002,,Financial Services,71915.917,,
